index,date,actual,predicted,confidence,success
1385,2022-01-03,0,1,70,True
1386,2022-01-04,0,1,70,True
1387,2022-01-05,0,0,70,True
1388,2022-01-06,0,1,70,True
1389,2022-01-07,0,0,70,True
1390,2022-01-10,1,1,70,True
1391,2022-01-11,1,1,70,True
1392,2022-01-12,0,1,70,True
1393,2022-01-13,1,1,70,True
1394,2022-01-14,0,1,70,True
1395,2022-01-18,0,0,70,True
1396,2022-01-19,0,0,70,True
1397,2022-01-20,0,0,70,True
1398,2022-01-21,1,0,70,True
1399,2022-01-24,0,1,70,True
1400,2022-01-25,0,0,70,True
1401,2022-01-26,0,0,70,True
1402,2022-01-27,1,0,70,True
1403,2022-01-28,1,1,70,True
1404,2022-01-31,1,1,70,True
1405,2022-02-01,1,1,70,True
1406,2022-02-02,0,1,70,True
1407,2022-02-03,1,1,70,True
1408,2022-02-04,0,1,70,True
1409,2022-02-07,1,1,70,True
1410,2022-02-08,1,1,70,True
1411,2022-02-09,0,1,80,True
1412,2022-02-10,0,1,70,True
1413,2022-02-11,0,0,70,True
1414,2022-02-14,1,0,70,True
1415,2022-02-15,1,1,70,True
1416,2022-02-16,0,1,70,True
1417,2022-02-17,0,0,70,True
1418,2022-02-18,0,0,70,True
1419,2022-02-22,0,0,70,True
1420,2022-02-23,1,0,70,True
1421,2022-02-24,1,0,70,True
1422,2022-02-25,0,1,70,True
1423,2022-02-28,0,1,70,True
1424,2022-03-01,1,0,70,True
1425,2022-03-02,0,1,70,True
1426,2022-03-03,0,0,70,True
1427,2022-03-04,0,0,70,True
1428,2022-03-07,0,0,70,True
1429,2022-03-08,1,0,70,True
1430,2022-03-09,0,1,70,True
1431,2022-03-10,0,0,70,True
1432,2022-03-11,0,0,70,True
1433,2022-03-14,1,0,70,True
1434,2022-03-15,1,1,70,True
1435,2022-03-16,1,1,70,True
1436,2022-03-17,1,1,70,True
1437,2022-03-18,0,1,70,True
1438,2022-03-21,1,1,70,True
1439,2022-03-22,0,1,70,True
1440,2022-03-23,1,1,70,True
1441,2022-03-24,1,1,70,True
1442,2022-03-25,1,1,70,True
1443,2022-03-28,1,1,70,True
1444,2022-03-29,0,1,80,True
1445,2022-03-30,0,1,70,True
1446,2022-03-31,1,0,70,True
1447,2022-04-01,1,1,70,True
1448,2022-04-04,0,1,70,True
1449,2022-04-05,0,0,70,True
1450,2022-04-06,1,0,70,True
1451,2022-04-07,0,1,70,True
1452,2022-04-08,0,0,70,True
1453,2022-04-11,0,0,70,True
